Stocks,Date,Party,Category,Transaction Type,Quantity,Value Traded (₹),Holdings change(%),Average Trade Price(₹)
"Mahindra and Mahindra Ltd","2024-07-16","Mandar Shridhar Parab","Insider - Designated Person","buy","679","1871833","0.00006090910989048657","2756.7496318114877"
"Mahindra and Mahindra Ltd","2024-07-16","Amol Parshuram Tawde","Insider - Designated Person","buy","1177","3244695","0.00010558177075272856","2756.750212404418"
"Ahimsa Industries Ltd","2024-07-16","RCSPL SHARE BROKING PRIVATE LIMITED","Bulk","buy","60000","1305000","1.0960926125184738","21.75"
"Ambey Laboratories Ltd","2024-07-16","MANSI SHARE AND STOCK ADVISORS PVT LTD","Bulk","buy","270000","23706000","15.211764666113034","87.8"
"Zomato Ltd","2024-07-16","AXIS MUTUAL FUND A/C AXIS FOCUSED 25 FUND","Block","buy","4400000","998140000","0.052606563060445484","226.85"
"Trucap Finance Ltd","2024-07-16","HJS SECURITIES PRIVATE LIMITED","Bulk","sell","1706037","84534133.35","1.4680042758096143","49.55"
"Trucap Finance Ltd","2024-07-16","IND SWIFT LABORATORIES LIMITED","Bulk","buy","2149511","105970892.3","1.8496031087835727","49.3"
"Tamilnadu Petroproducts Ltd","2024-07-16","QE SECURITIES LLP","Bulk","sell","494612","52458548.72","0.549743133029031","106.06"
"Tamilnadu Petroproducts Ltd","2024-07-16","QE SECURITIES LLP","Bulk","buy","421544","44940805.839999996","0.4685307256386619","106.61"
"Sunteck Realty Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","1005639","649622681.22","0.7158657299250125","645.98"
"Shreyas Shipping and Logistics Ltd","2024-07-16","HRTI PRIVATE LIMITED","Bulk","buy","95847","39148707.15","0.43651078652597275","408.45"
"Sheetal Cool Products Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","82269","39645431.1","0.7835142857142857","481.9"
"Quicktouch Technologies Ltd","2024-07-16","QUANTSEYE AI PRIVATE LIMITED","Bulk","buy","29500","4236790","0.6941176470588235","143.62"
"Parag Milk Foods Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","678811","136325613.13","0.5791911329288151","200.83"
"Oriental Carbon & Chemicals Ltd","2024-07-16","MANSI SHARE AND STOCK ADVISORS PVT LTD","Bulk","buy","50000","18002500","0.5004958913291289","360.05"
"Indiabulls Housing Finance Ltd Partly Paidup","2024-07-16","MILLENNIUM STOCK BROKING PVT LTD","Bulk","sell","107812","7236341.44",,"67.12"
"Indiabulls Housing Finance Ltd Partly Paidup","2024-07-16","AALIDHRA TEXTOOL ENGINEERS PRIVATE LIMITED","Bulk","buy","2500000","167875000",,"67.15"
"GTL Infrastructure Ltd","2024-07-16","SETU SECURITIES PVT LTD","Bulk","sell","72340198","207616368.26000002","0.5709068851393876","2.87"
"GTL Infrastructure Ltd","2024-07-16","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","buy","132227239","378169903.53999996","1.0435337922087433","2.86"
"Camlin Fine Sciences Ltd","2024-07-16","POONAM GAJANAND MUNDHRA","Bulk","sell","1189242","145194555.78","0.7101427343054011","122.09"
"Camlin Fine Sciences Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","1357413","161722184.82","0.8105641908053175","119.14"
"Birla Cable Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","258227","77256353.86","0.8607566666666666","299.18"
"Birla Cable Ltd","2024-07-16","AAKRAYA RESEARCH LLP","Bulk","buy","163388","49511465.63999999","0.5446266666666667","303.03"
"Nocil Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","1010866","316593122.54","0.6065958915652822","313.19"
"Mukka Proteins Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","2950216","156479456.64","1.3410072727272728","53.04"
"MOS Utility Ltd","2024-07-16","SMITAL SURESH THAKKAR","Bulk","buy","127200","26653488","0.6638419980892624","209.54"
"Manomay Tex India Ltd","2024-07-16","NAV CAPITAL VCC - NAV CAPITAL EMERGING STAR FUND","Bulk","buy","99999","20335796.64","0.5540499098690296","203.36"
"Mahanagar Telephone Nigam Ltd","2024-07-16","AAKRAYA RESEARCH LLP","Bulk","sell","2440541","130324889.39999999","0.3873874603174603","53.4"
"Mahanagar Telephone Nigam Ltd","2024-07-16","HRTI PRIVATE LIMITED","Bulk","buy","5467958","290403249.38","0.8679298412698413","53.11"
"Mahanagar Telephone Nigam Ltd","2024-07-16","CLT RESEARCH TECH PRIVATE LTD","Bulk","buy","1757227","93923783.15","0.27892492063492064","53.45"
"Mahanagar Telephone Nigam Ltd","2024-07-16","AAKRAYA RESEARCH LLP","Bulk","buy","2440541","130202862.35000001","0.3873874603174603","53.35"
"Kellton Tech Solutions Ltd","2024-07-16","AAKRAYA RESEARCH LLP","Bulk","buy","517641","87776384.36999999","0.5362443959466242","169.57"
